Match Number,Round Number,Date,Location,Home Team,Away Team,Result
388,8,10/12/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,133 - 136
389,8,10/12/2022 16:00,Capital One Arena,Washington Wizards,LA Clippers,107 - 114
390,8,10/12/2022 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Oklahoma City Thunder,110 - 102
391,8,10/12/2022 17:00,United Center,Chicago Bulls,Dallas Mavericks,144 - 115
392,8,10/12/2022 17:30,Chase Center,Golden State Warriors,Boston Celtics,123 - 107
393,8,10/12/2022 18:00,Ball Arena,Denver Nuggets,Utah Jazz,115 - 110
394,8,10/12/2022 19:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,124 - 118
395,8,11/12/2022 12:30,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,129 - 124
396,8,11/12/2022 15:00,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,117 - 124
397,8,11/12/2022 15:00,Madison Square Garden,New York Knicks,Sacramento Kings,112 - 99
398,8,11/12/2022 15:00,Amway Center,Orlando Magic,Toronto Raptors,111 - 99
399,8,11/12/2022 15:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,131 - 113
400,8,11/12/2022 15:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,123 - 122
401,8,11/12/2022 16:00,Toyota Center,Houston Rockets,Milwaukee Bucks,97 - 92
402,8,12/12/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,Miami Heat,82 - 87
403,8,12/12/2022 16:00,Capital One Arena,Washington Wizards,Brooklyn Nets,100 - 112
404,8,12/12/2022 17:00,FedExForum,Memphis Grizzlies,Atlanta Hawks,128 - 103
405,8,12/12/2022 17:30,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,121 - 114
406,8,12/12/2022 17:30,AT&T Center,San Antonio Spurs,Cleveland Cavaliers,112 - 111
407,8,12/12/2022 19:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,133 - 112
408,8,12/12/2022 19:30,Crypto.com Arena,LA Clippers,Boston Celtics,113 - 93
409,8,13/12/2022 16:00,Wells Fargo Center,Philadelphia 76ers,Sacramento Kings,123 - 103
410,8,13/12/2022 16:30,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,128 - 111
411,8,13/12/2022 17:00,Toyota Center,Houston Rockets,Phoenix Suns,111 - 97
412,8,13/12/2022 18:00,Vivint Arena,Utah Jazz,New Orleans Pelicans,121 - 100
413,8,13/12/2022 19:00,Crypto.com Arena,Los Angeles Lakers,Boston Celtics,118 - 122
414,8,14/12/2022 16:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,134 - 141
415,8,14/12/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,Golden State Warriors,125 - 119
416,8,14/12/2022 16:00,Amway Center,Orlando Magic,Atlanta Hawks,135 - 124
417,8,14/12/2022 16:30,Scotiabank Arena,Toronto Raptors,Sacramento Kings,123 - 124
418,8,14/12/2022 16:30,United Center,Chicago Bulls,New York Knicks,120 - 128
419,8,14/12/2022 17:00,Paycom Center,Oklahoma City Thunder,Miami Heat,108 - 110
420,8,14/12/2022 17:00,AT&T Center,San Antonio Spurs,Portland Trail Blazers,112 - 128
421,8,14/12/2022 18:00,American Airlines Center,Dallas Mavericks,Cleveland Cavaliers,90 - 105
422,8,14/12/2022 18:00,Ball Arena,Denver Nuggets,Washington Wizards,141 - 128
